Company,Job Role,Job Description,Min CGPA,Required Skills
Freshworks,Software Engineer,SaaS products,7,"Java, JavaScript"
Zoho,Software Developer,Business software,6.5,"Java, C++, Problem Solving"
Nokia,Software Engineer,Telecom software,7,"C++, Networking"
Ericsson,Graduate Engineer,5G & telecom software,6.5,"Networking, Linux"
Bosch,Software Engineer,Automotive software,6.5,Embedded C
Siemens,Graduate Engineer,Industrial software,6.5,"Java, PLC Basics"
Hexaware,Software Engineer,Application development,6,"Java, SQL"
Persistent Systems,Software Engineer,Enterprise applications,6.5,"Java, Python"
Virtusa,Associate Engineer,Software development,6,"Java, SQL"
NTT DATA,Software Engineer,IT services,6,"Java, SQL, Cloud"
AMD,Software Development Engineer,"Develop software for processors, drivers, and performance optimization.",7,"C++, Python, DSA, OS"
Broadcom,Software Engineer,Develop networking and semiconductor software solutions.,7,"C, C++, Networking, Linux"
Micron Technology,Firmware Engineer,Develop firmware for memory and storage devices.,7,"C, Embedded Systems, RTOS"
Arm,Software Engineer,Build compiler and processor-related software.,7.5,"C++, Computer Architecture, DSA"
Texas Instruments,Embedded Software Engineer,Design embedded software for semiconductor products.,7,"Embedded C, Microcontrollers, C++"
Analog Devices,Software Engineer,Develop embedded and signal-processing software.,7,"C, DSP, Embedded Systems"
Synopsys,R&D Engineer,Develop EDA tools for chip design automation.,7.5,"C++, Algorithms, Linux"
Cadence Design Systems,Software Engineer,Build software for IC and PCB design automation.,7.5,"C++, DSA, OOP"
MediaTek,Embedded Engineer,Develop firmware for communication chipsets.,7,"Embedded C, Linux"
Western Digital,Software Engineer,Develop storage firmware and cloud solutions.,7,"C++, Python, Storage Concepts"
Hitachi Vantara,Software Engineer,Build enterprise storage and cloud software.,6.5,"Java, Python, SQL"
Schneider Electric,Graduate Engineer,Develop industrial automation software.,6.5,"C++, PLC Basics, Python"
Honeywell,Software Engineer,Build industrial IoT and automation solutions.,7,"C++, Embedded, Networking"
GE Aerospace,Software Engineer,Develop avionics and aerospace software systems.,7,"C++, Embedded, RTOS"
Rockwell Automation,Software Engineer,Develop factory automation software.,6.5,"PLC, SCADA, C#"
CRED,Backend Engineer,Develop scalable fintech backend systems.,7.5,"Java, Spring Boot, SQL"
Groww,Software Engineer,Build investment platform applications.,7,"Java, Microservices, AWS"
Zerodha,Software Developer,Develop stock trading applications.,7,"Python, JavaScript, SQL"
Upstox,Software Engineer,Develop trading and investment platforms.,7,"Java, Spring, Kafka"
Navi,Software Engineer,Build digital banking and lending platforms.,7,"Java, REST APIs, SQL"
Juspay,Software Development Engineer,Build payment gateway infrastructure.,7.5,"Java, Functional Programming, DSA"
BrowserStack,Software Engineer,Develop cloud testing platforms.,7.5,"Java, Selenium, Python"
Postman,Software Engineer,Build API development and testing products.,7.5,"JavaScript, Node.js, APIs"
Chargebee,Software Engineer,Develop SaaS billing software.,7,"Ruby, JavaScript, SQL"
Druva,Software Engineer,Develop cloud backup and security software.,7.5,"Java, Cloud, AWS"
Gojek,Software Engineer,Build scalable transportation applications.,7.5,"Go, Java, Microservices"
InMobi,Software Engineer,Develop mobile advertising platforms.,7.5,"Java, Big Data, Spark"
ShareChat,Backend Engineer,Build large-scale social media backend systems.,7.5,"Java, Redis, Kafka"
Dream11,Software Engineer,Develop fantasy gaming applications.,7.5,"Java, Distributed Systems"
MPL,Software Engineer,Build online gaming infrastructure.,7,"Java, Spring Boot, SQL"
Ola,Software Engineer,Develop ride-sharing applications.,7,"Java, AWS, REST APIs"
OYO,Software Engineer,Build hotel booking platforms.,6.5,"Java, SQL, Cloud"
Dunzo,Backend Engineer,Develop logistics and delivery backend services.,7,"Go, Java, APIs"
Delhivery,Software Engineer,Build logistics management software.,7,"Java, Python, SQL"
BlackRock,Analyst Programmer,Develop financial analytics software.,7.5,"Java, Python, SQL"
American Express,Software Engineer,Build payment and banking software.,7,"Java, Spring Boot"
Mastercard,Software Engineer,Develop payment processing platforms.,7.5,"Java, APIs, SQL"
Visa,Software Engineer,Develop secure digital payment systems.,7.5,"Java, Distributed Systems"
UBS,Technology Analyst,Build investment banking software.,7,"Java, SQL, Linux"
Barclays,Graduate Developer,Develop banking applications.,7,"Java, Spring, SQL"
Deutsche Bank,Technology Analyst,Build financial software solutions.,7,"Java, DBMS, OOP"
HSBC,Software Engineer,Develop banking software platforms.,7,"Java, SQL, Cloud"
Wells Fargo,Software Engineer,Develop banking and financial software.,7,"Java, Spring Boot"
Fidelity Investments,Software Engineer,Build wealth management applications.,7,"Java, AWS, SQL"
Siemens Healthineers,Software Engineer,Develop healthcare software solutions.,7,"C++, Python, Medical Imaging"
Philips,Software Engineer,Build healthcare devices and applications.,7,"Java, C++, Embedded"
Novartis,Data Engineer,Develop healthcare analytics platforms.,7,"Python, SQL, Spark"
Roche,Software Engineer,Develop digital healthcare solutions.,7,"Java, Cloud, Python"
AstraZeneca,Data Engineer,Build pharmaceutical data platforms.,7,"Python, SQL, Azure"
Shell,Software Engineer,Develop digital solutions for energy operations.,6.5,"Python, Cloud, Data Analytics"
BP,Software Engineer,Develop digital solutions for energy operations and analytics.,6.5,"Python, SQL, Cloud"
Baker Hughes,Software Engineer,Build industrial IoT and automation software.,6.5,"Python, C++, IoT"
Eaton,Software Engineer,Develop power management and embedded software.,6.5,"C, Embedded Systems, RTOS"
Emerson,Graduate Engineer,Design industrial automation software solutions.,6.5,"PLC, SCADA, C++"
ABB,Software Engineer,Develop robotics and industrial automation software.,7,"C++, Embedded, Robotics"
Volvo Group,Software Engineer,Build software for connected and autonomous vehicles.,7,"C++, Python, Embedded"
John Deere,Software Engineer,Develop precision agriculture and IoT software.,6.5,"Java, Python, IoT"
Hyundai Mobis,Embedded Software Engineer,Develop automotive embedded systems.,7,"Embedded C, CAN Protocol"
Harman,Software Engineer,Build infotainment and connected car software.,7,"C++, Android, Embedded"
KPIT Technologies,Software Engineer,Develop automotive software solutions.,6.5,"C++, AUTOSAR, Embedded"
Sasken Technologies,Software Engineer,Build telecom and embedded software products.,6.5,"C, Linux, Networking"
Sonata Software,Software Engineer,Develop enterprise software applications.,6.5,"Java, SQL, Cloud"
Birlasoft,Associate Software Engineer,Build enterprise digital transformation solutions.,6.5,"Java, Python, SQL"
Coforge,Software Engineer,Develop cloud and enterprise software.,6.5,"Java, AWS, SQL"
Nagarro,Software Engineer,Build enterprise software and cloud applications.,6.5,"Java, Spring Boot, Cloud"
GlobalLogic,Software Engineer,Develop digital engineering solutions.,6.5,"Java, Python, REST APIs"
CitiusTech,Software Engineer,Build healthcare technology applications.,6.5,"Java, SQL, Healthcare IT"
UST,Software Engineer,Develop enterprise software for global clients.,6.5,"Java, SQL, OOP"
Altimetrik,Software Engineer,Build digital business transformation solutions.,6.5,"Java, Python, Cloud"
YASH Technologies,Software Engineer,Develop enterprise and SAP-based solutions.,6.5,"Java, SQL, SAP Basics"
Amdocs,Software Engineer,Develop telecom billing and CRM software.,6.5,"Java, SQL, Linux"
Dassault Systèmes,Software Engineer,Build CAD/PLM software products.,7,"C++, OOP, DSA"
Pegasystems,Software Engineer,Develop BPM and CRM enterprise software.,7,"Java, SQL, OOP"
OpenText,Software Engineer,Build enterprise information management solutions.,6.5,"Java, SQL, REST APIs"
Red Hat,Software Engineer,Develop enterprise Linux and open-source software.,7.5,"Linux, C, Python"
SUSE,Software Engineer,Develop Linux enterprise operating systems.,7,"Linux, C++, Bash"
Cloudera,Software Engineer,Build big data and analytics platforms.,7.5,"Hadoop, Spark, Java"
Elastic,Software Engineer,Develop search and analytics software.,7.5,"Java, Elasticsearch, Distributed Systems"
Databricks,Software Engineer,Build data engineering and AI platforms.,7.5,"Python, Spark, Scala"
Snowflake,Software Engineer,Develop cloud data warehouse solutions.,7.5,"SQL, Cloud, Python"
Confluent,Software Engineer,Build real-time streaming platforms.,7.5,"Kafka, Java, Distributed Systems"
HashiCorp,Software Engineer,Develop cloud infrastructure automation tools.,7.5,"Go, Terraform, Linux"
Cloudflare,Software Engineer,Build global networking and security services.,7.5,"C++, Networking, Linux"
Akamai,Software Engineer,Develop CDN and cybersecurity platforms.,7,"Networking, Python, Linux"
GitLab,Backend Engineer,Build DevOps and CI/CD platforms.,7.5,"Ruby, Git, CI/CD"
Atlassian,Software Engineer,Develop collaboration and productivity software.,7.5,"Java, React, SQL"
Expedia,Software Engineer,Build online travel booking platforms.,7,"Java, Microservices, AWS"
Booking.com,Software Engineer,Develop travel reservation systems.,7,"Java, SQL, Cloud"
Airbnb,Software Engineer,Build global accommodation platform features.,7.5,"Java, React, Distributed Systems"
Agoda,Software Engineer,Develop hotel booking and travel applications.,7,"Java, SQL, AWS"
Rakuten,Software Engineer,Build e-commerce and fintech platforms.,7,"Java, Spring Boot, SQL"
Samsung R&D Institute,Software Engineer,Develop mobile and AI software solutions.,7.5,"C++, Java, Android"
LG Soft India,Software Engineer,Build consumer electronics software.,7,"C++, Embedded, Linux"
Sony India,Software Engineer,Develop multimedia and gaming software.,7,"C++, Python, Computer Vision"
Panasonic,Software Engineer,Build embedded and IoT solutions.,6.5,"Embedded C, IoT, C++"
Hitachi Energy,Software Engineer,Develop smart grid and energy software.,6.5,"Python, Java, Power Systems"
Mitsubishi Electric,Embedded Software Engineer,Build industrial automation and robotics software.,6.5,"C++, Embedded, PLC"
Fujitsu,Software Engineer,Develop enterprise and cloud solutions.,6.5,"Java, Python, SQL"
NEC Corporation,Software Engineer,"Build networking, AI, and enterprise software.",7,"Java, C++, AI Basics"
Rakuten Symphony,Software Engineer,Develop telecom cloud and 5G software solutions.,7,"Java, Kubernetes, Networking"
